sorting routine,pattern,n,time(CPU clock ticks),vs pg_qsort
heap sort,sorted,100000,11.4,5700.00%
heap sort,sorted,1000000,130.6,5936.36%
heap sort,sorted,10000000,1529.8,7082.41%
heap sort,random,100000,11.2,100.00%
heap sort,random,1000000,214,157.82%
heap sort,random,10000000,6354,398.12%
heap sort,reversed,100000,9.6,200.00%
heap sort,reversed,1000000,125,218.53%
heap sort,reversed,10000000,1523.4,226.97%
heap sort,mostly sorted,100000,9.6,218.18%
heap sort,mostly sorted,1000000,132,282.05%
heap sort,mostly sorted,10000000,1679.2,341.44%
heap sort,mostly reversed,100000,9.6,208.70%
heap sort,mostly reversed,1000000,129.6,264.49%
heap sort,mostly reversed,10000000,1621,331.49%
heap sort,killer,100000,11,2.05%
heap sort,killer,1000000,192.6,0.54%
tim sort,sorted,100000,0.2,100.00%
tim sort,sorted,1000000,2,90.91%
tim sort,sorted,10000000,21.4,99.07%
tim sort,random,100000,23.2,207.14%
tim sort,random,1000000,285,210.18%
tim sort,random,10000000,3073.6,192.58%
tim sort,reversed,100000,2.6,54.17%
tim sort,reversed,1000000,53.2,93.01%
tim sort,reversed,10000000,916.8,136.59%
tim sort,mostly sorted,100000,3.6,81.82%
tim sort,mostly sorted,1000000,37.4,79.91%
tim sort,mostly sorted,10000000,372.2,75.68%
tim sort,mostly reversed,100000,killer,108.70%
tim sort,mostly reversed,1000000,59.6,121.63%
tim sort,mostly reversed,10000000,974,199.18%
tim sort,killer,100000,18.2,3.40%
tim sort,killer,1000000,211.8,0.59%
dual pivot quick sort,sorted,100000,4.2,2100.00%
dual pivot quick sort,sorted,1000000,48.4,2200.00%
dual pivot quick sort,sorted,10000000,556.4,2575.93%
dual pivot quick sort,random,100000,18.4,164.29%
dual pivot quick sort,random,1000000,214.8,158.41%
dual pivot quick sort,random,10000000,2477.8,155.25%
dual pivot quick sort,reversed,100000,5.4,112.50%
dual pivot quick sort,reversed,1000000,60.8,106.29%
dual pivot quick sort,reversed,10000000,689,102.65%
dual pivot quick sort,mostly sorted,100000,10,227.27%
dual pivot quick sort,mostly sorted,1000000,99.6,212.82%
dual pivot quick sort,mostly sorted,10000000,1061.6,215.86%
dual pivot quick sort,mostly reversed,100000,9.2,200.00%
dual pivot quick sort,mostly reversed,1000000,98.8,201.63%
dual pivot quick sort,mostly reversed,10000000,1053.4,215.42%
dual pivot quick sort,killer,100000,17.6,3.29%
dual pivot quick sort,killer,1000000,206.6,0.57%
radix sort,sorted,100000,12.2,6100.00%
radix sort,sorted,1000000,126.8,5763.64%
