sorting routine,pattern,n,time(CPU clock ticks),
heap sort,sorted,100000,30.4,3040.00%
heap sort,sorted,1000000,294,2625.00%
heap sort,sorted,10000000,3245.2,2372.22%
heap sort,random,100000,62.4,266.67%
heap sort,random,1000000,1675.4,420.95%
heap sort,random,10000000,34482.6,552.68%
heap sort,reversed,100000,26.4,293.33%
heap sort,reversed,1000000,354.8,283.84%
heap sort,reversed,10000000,4297.8,259.75%
heap sort,mostly sorted,100000,27.8,289.58%
heap sort,mostly sorted,1000000,440.4,386.32%
heap sort,mostly sorted,10000000,5778.6,395.63%
heap sort,mostly reversed,100000,26.4,293.33%
heap sort,mostly reversed,1000000,432,394.88%
heap sort,mostly reversed,10000000,5557.8,381.25%
heap sort,killer,100000,54.8,1.02%
heap sort,killer,1000000,1270.2,0.17%
tim sort,sorted,100000,1.2,120.00%
tim sort,sorted,1000000,11,98.21%
tim sort,sorted,10000000,139.8,102.19%
tim sort,random,100000,35.2,150.43%
tim sort,random,1000000,577.2,145.03%
tim sort,random,10000000,8063.8,129.24%
tim sort,reversed,100000,2.6,28.89%
tim sort,reversed,1000000,27.8,22.24%
tim sort,reversed,10000000,309.8,18.72%
tim sort,mostly sorted,100000,6.4,66.67%
tim sort,mostly sorted,1000000,90.8,79.65%
tim sort,mostly sorted,10000000,963.4,65.96%
tim sort,mostly reversed,100000,6.8,75.56%
tim sort,mostly reversed,1000000,89.8,82.08%
tim sort,mostly reversed,10000000,968.8,66.46%
tim sort,killer,100000,27.4,0.51%
tim sort,killer,1000000,420.2,0.06%
dual pivot quick sort,sorted,100000,7,700.00%
dual pivot quick sort,sorted,1000000,89.2,796.43%
dual pivot quick sort,sorted,10000000,1138,831.87%
dual pivot quick sort,random,100000,32.8,140.17%
dual pivot quick sort,random,1000000,561,140.95%
dual pivot quick sort,random,10000000,8499.8,136.23%
dual pivot quick sort,reversed,100000,8.4,93.33%
dual pivot quick sort,reversed,1000000,108.6,86.88%
dual pivot quick sort,reversed,10000000,1335.2,80.70%
dual pivot quick sort,mostly sorted,100000,13.4,139.58%
dual pivot quick sort,mostly sorted,1000000,155.4,136.32%
dual pivot quick sort,mostly sorted,10000000,1833.4,125.52%
dual pivot quick sort,mostly reversed,100000,15,166.67%
dual pivot quick sort,mostly reversed,1000000,154.2,140.95%
dual pivot quick sort,mostly reversed,10000000,1983.4,136.05%
