sorting routine,pattern,n,time(CPU clock ticks),vs pg_qsort
heap sort,sorted,100000,12.8,3200.00%
heap sort,sorted,1000000,133,4156.25%
heap sort,sorted,10000000,2736.2,8604.40%
heap sort,random,100000,26.6,207.81%
heap sort,random,1000000,447.2,372.67%
heap sort,random,10000000,8030.6,662.92%
heap sort,reversed,100000,18,428.57%
heap sort,reversed,1000000,316.4,883.80%
heap sort,reversed,10000000,3223,840.20%
heap sort,mostly sorted,100000,24.6,439.29%
heap sort,mostly sorted,1000000,310.8,690.67%
heap sort,mostly sorted,10000000,3764.2,858.62%
heap sort,mostly reversed,100000,23.2,400.00%
heap sort,mostly reversed,1000000,296.4,655.75%
heap sort,mostly reversed,10000000,3770.4,892.61%
heap sort,killer,100000,26.6,192.75%
heap sort,killer,1000000,441,388.20%
tim sort,sorted,100000,0.4,100.00%
tim sort,sorted,1000000,killer,156.25%
tim sort,sorted,10000000,44.6,140.25%
tim sort,random,100000,65.8,514.06%
tim sort,random,1000000,709.2,591.00%
tim sort,random,10000000,5615.8,463.58%
tim sort,reversed,100000,52.6,1252.38%
tim sort,reversed,1000000,130.2,363.69%
tim sort,reversed,10000000,1302.2,339.47%
tim sort,mostly sorted,100000,6,107.14%
tim sort,mostly sorted,1000000,59.2,131.56%
tim sort,mostly sorted,10000000,642.6,146.58%
tim sort,mostly reversed,100000,61.2,1055.17%
tim sort,mostly reversed,1000000,143.6,317.70%
tim sort,mostly reversed,10000000,1510.4,357.58%
tim sort,killer,100000,53.4,386.96%
tim sort,killer,1000000,513.2,451.76%
dual pivot quick sort,sorted,100000,8.4,2100.00%
dual pivot quick sort,sorted,1000000,74.2,2318.75%
dual pivot quick sort,sorted,10000000,774.6,2435.85%
dual pivot quick sort,random,100000,34,265.63%
dual pivot quick sort,random,1000000,309.6,258.00%
dual pivot quick sort,random,10000000,3004,247.98%
dual pivot quick sort,reversed,100000,10.6,252.38%
dual pivot quick sort,reversed,1000000,101.6,283.80%
dual pivot quick sort,reversed,10000000,1026.6,267.62%
dual pivot quick sort,mostly sorted,100000,22.2,396.43%
dual pivot quick sort,mostly sorted,1000000,192.4,427.56%
dual pivot quick sort,mostly sorted,10000000,1855.8,423.31%
dual pivot quick sort,mostly reversed,100000,21.8,375.86%
dual pivot quick sort,mostly reversed,1000000,208.4,461.06%
dual pivot quick sort,mostly reversed,10000000,1940,459.28%
dual pivot quick sort,killer,100000,31.2,226.09%
dual pivot quick sort,killer,1000000,294,258.80%
radix sort,sorted,100000,9,2250.00%
radix sort,sorted,1000000,90.8,2837.50%
radix sort,sorted,10000000,946.4,2976.10%
radix sort,random,100000,9,70.31%
radix sort,random,1000000,90.2,75.17%
radix sort,random,10000000,910,75.12%
radix sort,reversed,100000,9,214.29%
radix sort,reversed,1000000,90.4,252.51%
radix sort,reversed,10000000,885.4,230.81%
radix sort,mostly sorted,100000,8.8,157.14%
radix sort,mostly sorted,1000000,90.6,201.33%
radix sort,mostly sorted,10000000,909.6,207.48%
radix sort,mostly reversed,100000,8.8,151.72%
radix sort,mostly reversed,1000000,87,192.48%
radix sort,mostly reversed,10000000,888.6,210.37%
radix sort,killer,100000,8.8,63.77%
radix sort,killer,1000000,107.4,94.54%
pg intro sort,sorted,100000,0.2,50.00%
pg intro sort,sorted,1000000,3.4,106.25%
pg intro sort,sorted,10000000,34.4,108.18%
pg intro sort,random,100000,13.8,107.81%
pg intro sort,random,1000000,128.6,107.17%
pg intro sort,random,10000000,1234.6,101.92%
pg intro sort,reversed,100000,4.6,109.52%
pg intro sort,reversed,1000000,40.2,112.29%
pg intro sort,reversed,10000000,411.8,107.35%
pg intro sort,mostly sorted,100000,5.6,100.00%
pg intro sort,mostly sorted,1000000,46.2,102.67%
pg intro sort,mostly sorted,10000000,457.2,104.29%
pg intro sort,mostly reversed,100000,5.4,93.10%
pg intro sort,mostly reversed,1000000,48,106.19%
pg intro sort,mostly reversed,10000000,480,113.64%
pg intro sort,killer,100000,14.2,102.90%
pg intro sort,killer,1000000,122,107.39%
pg intro sort - 1 preordered check,sorted,100000,1.4,350.00%
pg intro sort - 1 preordered check,sorted,1000000,3.2,100.00%
pg intro sort - 1 preordered check,sorted,10000000,31.4,98.74%
pg intro sort - 1 preordered check,random,100000,13.8,107.81%
pg intro sort - 1 preordered check,random,1000000,124.8,104.00%
pg intro sort - 1 preordered check,random,10000000,1199.8,99.04%
pg intro sort - 1 preordered check,reversed,100000,4.6,109.52%
pg intro sort - 1 preordered check,reversed,1000000,39.2,109.50%
pg intro sort - 1 preordered check,reversed,10000000,430,112.10%
pg intro sort - 1 preordered check,mostly sorted,100000,5.6,100.00%
pg intro sort - 1 preordered check,mostly sorted,1000000,47.8,106.22%
pg intro sort - 1 preordered check,mostly sorted,10000000,455.6,103.92%
pg intro sort - 1 preordered check,mostly reversed,100000,5.8,100.00%
pg intro sort - 1 preordered check,mostly reversed,1000000,47,103.98%
pg intro sort - 1 preordered check,mostly reversed,10000000,450.4,106.63%
pg intro sort - 1 preordered check,killer,100000,14,101.45%
pg intro sort - 1 preordered check,killer,1000000,123,108.27%
rand pg_qsort,sorted,100000,0.4,100.00%
rand pg_qsort,sorted,1000000,3.8,118.75%
rand pg_qsort,sorted,10000000,33,103.77%
rand pg_qsort,random,100000,13.4,104.69%
rand pg_qsort,random,1000000,124.2,103.50%
rand pg_qsort,random,10000000,1208.2,99.74%
rand pg_qsort,reversed,100000,4.8,114.29%
rand pg_qsort,reversed,1000000,46.2,129.05%
rand pg_qsort,reversed,10000000,506.2,131.96%
rand pg_qsort,mostly sorted,100000,6.6,117.86%
rand pg_qsort,mostly sorted,1000000,58.4,129.78%
rand pg_qsort,mostly sorted,10000000,558.8,127.46%
rand pg_qsort,mostly reversed,100000,7.2,124.14%
rand pg_qsort,mostly reversed,1000000,56,123.89%
rand pg_qsort,mostly reversed,10000000,544.2,128.84%
rand pg_qsort,killer,100000,12.6,91.30%
rand pg_qsort,killer,1000000,116.8,102.82%
pg_qsort,sorted,100000,0.4,100.00%
pg_qsort,sorted,1000000,3.2,100.00%
pg_qsort,sorted,10000000,31.8,100.00%
pg_qsort,random,100000,12.8,100.00%
pg_qsort,random,1000000,120,100.00%
pg_qsort,random,10000000,1211.4,100.00%
pg_qsort,reversed,100000,4.2,100.00%
pg_qsort,reversed,1000000,35.8,100.00%
pg_qsort,reversed,10000000,383.6,100.00%
pg_qsort,mostly sorted,100000,5.6,100.00%
pg_qsort,mostly sorted,1000000,45,100.00%
pg_qsort,mostly sorted,10000000,438.4,100.00%
pg_qsort,mostly reversed,100000,5.8,100.00%
pg_qsort,mostly reversed,1000000,45.2,100.00%
pg_qsort,mostly reversed,10000000,422.4,100.00%
pg_qsort,killer,100000,13.8,100.00%
pg_qsort,killer,1000000,113.6,100.00%
