sorting routine,pattern,n,time(CPU clock ticks),vs pg_qsort
heap sort,sorted,100000,37.8,6300.00%
heap sort,sorted,1000000,412.8,6070.59%
heap sort,sorted,10000000,4727.6,6993.49%
heap sort,random,100000,42,583.33%
heap sort,random,1000000,676.8,605.37%
heap sort,random,10000000,7416.8,658.22%
heap sort,reversed,100000,31.2,1300.00%
heap sort,reversed,1000000,468.2,1385.21%
heap sort,reversed,10000000,5306.6,1450.68%
heap sort,mostly sorted,100000,32.6,1164.29%
heap sort,mostly sorted,1000000,499,1334.22%
heap sort,mostly sorted,10000000,5842,1437.50%
heap sort,mostly reversed,100000,33.2,1276.92%
heap sort,mostly reversed,1000000,495.8,1284.46%
heap sort,mostly reversed,10000000,5778.4,1401.16%
heap sort,killer,100000,48,631.58%
heap sort,killer,1000000,826,756.41%
tim sort,sorted,100000,0.6,100.00%
tim sort,sorted,1000000,6.6,97.06%
tim sort,sorted,10000000,69,102.07%
tim sort,random,100000,24.8,344.44%
tim sort,random,1000000,412.8,369.23%
tim sort,random,10000000,5175.8,459.34%
tim sort,reversed,100000,4.4,183.33%
tim sort,reversed,1000000,58.6,173.37%
tim sort,reversed,10000000,619.6,169.38%
tim sort,mostly sorted,100000,5.2,185.71%
tim sort,mostly sorted,1000000,75,200.53%
tim sort,mostly sorted,10000000,829.4,204.08%
tim sort,mostly reversed,100000,5.8,223.08%
tim sort,mostly reversed,1000000,74.4,192.75%
tim sort,mostly reversed,10000000,861.2,208.83%
tim sort,killer,100000,21.4,281.58%
tim sort,killer,1000000,329,301.28%
dual pivot quick sort,sorted,100000,3.4,566.67%
dual pivot quick sort,sorted,1000000,37,544.12%
dual pivot quick sort,sorted,10000000,406,600.59%
dual pivot quick sort,random,100000,11.2,155.56%
dual pivot quick sort,random,1000000,190.6,170.48%
dual pivot quick sort,random,10000000,1779.2,157.90%
dual pivot quick sort,reversed,100000,4.4,183.33%
dual pivot quick sort,reversed,1000000,50,147.93%
dual pivot quick sort,reversed,10000000,531,145.16%
dual pivot quick sort,mostly sorted,100000,4.6,164.29%
dual pivot quick sort,mostly sorted,1000000,71,189.84%
