sorting routine,pattern,n,correct,time(CPU clock ticks)
heap sort,0,100000,1,18.600
heap sort,0,1000000,1,216.600
heap sort,0,10000000,1,2486.800
heap sort,1,100000,1,20.200
heap sort,1,1000000,1,473.200
heap sort,1,10000000,1,8878.000
heap sort,2,100000,1,15.000
heap sort,2,1000000,1,206.800
heap sort,2,10000000,1,2523.400
heap sort,3,100000,1,17.200
heap sort,3,1000000,1,261.600
heap sort,3,10000000,1,3417.800
heap sort,4,100000,1,22.200
heap sort,4,1000000,1,253.400
heap sort,4,10000000,1,2960.000
heap sort,5,100000,1,17.200
heap sort,5,1000000,1,390.000
tim sort,0,100000,1,0.400
tim sort,0,1000000,1,2.800
tim sort,0,10000000,1,30.000
tim sort,1,100000,1,41.800
tim sort,1,1000000,1,486.600
tim sort,1,10000000,1,3875.800
tim sort,2,100000,1,4.200
tim sort,2,1000000,1,95.400
tim sort,2,10000000,1,1915.800
tim sort,3,100000,1,4.200
tim sort,3,1000000,1,44.400
tim sort,3,10000000,1,478.200
tim sort,4,100000,1,5.200
tim sort,4,1000000,1,100.600
tim sort,4,10000000,1,1891.000
tim sort,5,100000,1,24.600
tim sort,5,1000000,1,273.200
dual pivot quick sort,0,100000,1,5.400
dual pivot quick sort,0,1000000,1,62.600
dual pivot quick sort,0,10000000,1,742.000
dual pivot quick sort,1,100000,1,24.000
dual pivot quick sort,1,1000000,1,295.400
dual pivot quick sort,1,10000000,1,3466.000
dual pivot quick sort,2,100000,1,7.000
dual pivot quick sort,2,1000000,1,80.400
dual pivot quick sort,2,10000000,1,923.800
dual pivot quick sort,3,100000,1,13.000
dual pivot quick sort,3,1000000,1,140.800
dual pivot quick sort,3,10000000,1,1483.800
dual pivot quick sort,4,100000,1,13.600
dual pivot quick sort,4,1000000,1,141.600
dual pivot quick sort,4,10000000,1,1541.600
dual pivot quick sort,5,100000,1,23.400
dual pivot quick sort,5,1000000,1,280.800
pg intro sort,0,100000,1,0.400
pg intro sort,0,1000000,1,2.200
pg intro sort,0,10000000,1,24.600
pg intro sort,1,100000,1,17.400
pg intro sort,1,1000000,1,198.200
pg intro sort,1,10000000,1,2277.000
pg intro sort,2,100000,1,6.000
pg intro sort,2,1000000,1,71.200
pg intro sort,2,10000000,1,856.200
pg intro sort,3,100000,1,6.400
pg intro sort,3,1000000,1,64.200
pg intro sort,3,10000000,1,710.800
pg intro sort,4,100000,1,6.800
pg intro sort,4,1000000,1,73.800
pg intro sort,4,10000000,1,778.200
pg intro sort,5,100000,1,25.600
pg intro sort,5,1000000,1,416.600
pg intro sort - 1 preordered check,0,100000,1,0.200
pg intro sort - 1 preordered check,0,1000000,1,2.200
pg intro sort - 1 preordered check,0,10000000,1,23.000
pg intro sort - 1 preordered check,1,100000,1,17.000
pg intro sort - 1 preordered check,1,1000000,1,193.400
pg intro sort - 1 preordered check,1,10000000,1,2317.200
pg intro sort - 1 preordered check,2,100000,1,6.200
pg intro sort - 1 preordered check,2,1000000,1,72.600
pg intro sort - 1 preordered check,2,10000000,1,911.800
pg intro sort - 1 preordered check,3,100000,1,7.000
pg intro sort - 1 preordered check,3,1000000,1,72.400
pg intro sort - 1 preordered check,3,10000000,1,807.000
pg intro sort - 1 preordered check,4,100000,1,6.800
pg intro sort - 1 preordered check,4,1000000,1,76.400
pg intro sort - 1 preordered check,4,10000000,1,876.000
pg intro sort - 1 preordered check,5,100000,1,26.400
pg intro sort - 1 preordered check,5,1000000,1,425.800
rand pg_qsort,0,100000,1,0.000
rand pg_qsort,0,1000000,1,2.800
rand pg_qsort,0,10000000,1,27.400
rand pg_qsort,1,100000,1,19.800
rand pg_qsort,1,1000000,1,225.600
rand pg_qsort,1,10000000,1,2478.400
rand pg_qsort,2,100000,1,7.000
rand pg_qsort,2,1000000,1,69.400
rand pg_qsort,2,10000000,1,896.400
rand pg_qsort,3,100000,1,8.600
rand pg_qsort,3,1000000,1,88.800
rand pg_qsort,3,10000000,1,913.400
rand pg_qsort,4,100000,1,9.000
rand pg_qsort,4,1000000,1,90.200
rand pg_qsort,4,10000000,1,949.600
rand pg_qsort,5,100000,1,19.400
rand pg_qsort,5,1000000,1,230.000
pg_qsort,0,100000,1,0.200
pg_qsort,0,1000000,1,2.800
pg_qsort,0,10000000,1,29.800
pg_qsort,1,100000,1,20.600
pg_qsort,1,1000000,1,240.800
pg_qsort,1,10000000,1,2582.000
pg_qsort,2,100000,1,7.000
pg_qsort,2,1000000,1,81.200
pg_qsort,2,10000000,1,1015.800
pg_qsort,3,100000,1,7.600
pg_qsort,3,1000000,1,74.000
pg_qsort,3,10000000,1,768.600
pg_qsort,4,100000,1,7.200
pg_qsort,4,1000000,1,78.000
pg_qsort,4,10000000,1,873.400
pg_qsort,5,100000,1,1381.200
pg_qsort,5,1000000,1,6383.800
