sorting routine,pattern,n,time(CPU clock ticks)
heap sort,0,100000,11.4
heap sort,0,1000000,130.6
heap sort,0,10000000,1529.8
heap sort,1,100000,11.2
heap sort,1,1000000,214
heap sort,1,10000000,6354
heap sort,2,100000,9.6
heap sort,2,1000000,125
heap sort,2,10000000,1523.4
heap sort,3,100000,9.6
heap sort,3,1000000,132
heap sort,3,10000000,1679.2
heap sort,4,100000,9.6
heap sort,4,1000000,129.6
heap sort,4,10000000,1621
heap sort,5,100000,11
heap sort,5,1000000,192.6
tim sort,0,100000,0.2
tim sort,0,1000000,2
tim sort,0,10000000,21.4
tim sort,1,100000,23.2
tim sort,1,1000000,285
tim sort,1,10000000,3073.6
tim sort,2,100000,2.6
tim sort,2,1000000,53.2
tim sort,2,10000000,916.8
tim sort,3,100000,3.6
tim sort,3,1000000,37.4
tim sort,3,10000000,372.2
tim sort,4,100000,5
tim sort,4,1000000,59.6
tim sort,4,10000000,974
tim sort,5,100000,18.2
tim sort,5,1000000,211.8
dual pivot quick sort,0,100000,4.2
dual pivot quick sort,0,1000000,48.4
dual pivot quick sort,0,10000000,556.4
dual pivot quick sort,1,100000,18.4
dual pivot quick sort,1,1000000,214.8
dual pivot quick sort,1,10000000,2477.8
dual pivot quick sort,2,100000,5.4
dual pivot quick sort,2,1000000,60.8
dual pivot quick sort,2,10000000,689
dual pivot quick sort,3,100000,10
dual pivot quick sort,3,1000000,99.6
dual pivot quick sort,3,10000000,1061.6
dual pivot quick sort,4,100000,9.2
dual pivot quick sort,4,1000000,98.8
dual pivot quick sort,4,10000000,1053.4
dual pivot quick sort,5,100000,17.6
dual pivot quick sort,5,1000000,206.6
radix sort,0,100000,12.2
radix sort,0,1000000,126.8
radix sort,0,10000000,1279.6
radix sort,1,100000,12.2
radix sort,1,1000000,126.8
radix sort,1,10000000,1274.4
radix sort,2,100000,12.2
radix sort,2,1000000,126.6
radix sort,2,10000000,1276.2
radix sort,3,100000,12.4
radix sort,3,1000000,128
radix sort,3,10000000,1284.2
radix sort,4,100000,12
radix sort,4,1000000,128
radix sort,4,10000000,1278.8
radix sort,5,100000,13.6
radix sort,5,1000000,140.8
pg intro sort,0,100000,0
pg intro sort,0,1000000,2.2
pg intro sort,0,10000000,21.6
pg intro sort,1,100000,11.2
pg intro sort,1,1000000,137.6
pg intro sort,1,10000000,1623
pg intro sort,2,100000,4.8
pg intro sort,2,1000000,57.2
pg intro sort,2,10000000,668.4
pg intro sort,3,100000,4.6
pg intro sort,3,1000000,47.8
pg intro sort,3,10000000,485.2
pg intro sort,4,100000,4.6
pg intro sort,4,1000000,48.2
pg intro sort,4,10000000,485.2
pg intro sort,5,100000,15.4
pg intro sort,5,1000000,250
pg intro sort - 1 preordered check,0,100000,0.2
pg intro sort - 1 preordered check,0,1000000,2
pg intro sort - 1 preordered check,0,10000000,20
pg intro sort - 1 preordered check,1,100000,11
pg intro sort - 1 preordered check,1,1000000,135
pg intro sort - 1 preordered check,1,10000000,1591.4
pg intro sort - 1 preordered check,2,100000,4.6
pg intro sort - 1 preordered check,2,1000000,55.6
pg intro sort - 1 preordered check,2,10000000,660.8
pg intro sort - 1 preordered check,3,100000,4.8
pg intro sort - 1 preordered check,3,1000000,52.2
pg intro sort - 1 preordered check,3,10000000,602.6
pg intro sort - 1 preordered check,4,100000,5
pg intro sort - 1 preordered check,4,1000000,53
pg intro sort - 1 preordered check,4,10000000,574
pg intro sort - 1 preordered check,5,100000,15.6
pg intro sort - 1 preordered check,5,1000000,250.6
rand pg_qsort,0,100000,0.2
rand pg_qsort,0,1000000,2.2
rand pg_qsort,0,10000000,21.8
rand pg_qsort,1,100000,12.2
rand pg_qsort,1,1000000,146.2
rand pg_qsort,1,10000000,1690.6
rand pg_qsort,2,100000,4.8
rand pg_qsort,2,1000000,58.2
rand pg_qsort,2,10000000,575.8
rand pg_qsort,3,100000,6
rand pg_qsort,3,1000000,62
rand pg_qsort,3,10000000,643.6
rand pg_qsort,4,100000,6
rand pg_qsort,4,1000000,60.4
rand pg_qsort,4,10000000,657.4
rand pg_qsort,5,100000,11.8
rand pg_qsort,5,1000000,138.2
pg_qsort,0,100000,0.2
pg_qsort,0,1000000,2.2
pg_qsort,0,10000000,21.6
pg_qsort,1,100000,11.2
pg_qsort,1,1000000,135.6
pg_qsort,1,10000000,1596
pg_qsort,2,100000,4.8
pg_qsort,2,1000000,57.2
pg_qsort,2,10000000,671.2
pg_qsort,3,100000,4.4
pg_qsort,3,1000000,46.8
pg_qsort,3,10000000,491.8
pg_qsort,4,100000,4.6
pg_qsort,4,1000000,49
pg_qsort,4,10000000,489
pg_qsort,5,100000,535.4
pg_qsort,5,1000000,35933.6
