sorting routine,pattern,n,correct,time(CPU clock ticks),
heap sort,0,100000,1,20.5,4100.00%
heap sort,0,1000000,1,222.6,8244.44%
heap sort,0,10000000,1,2600.2,10078.29%
heap sort,1,100000,1,42.7,347.15%
heap sort,1,1000000,1,450.2,391.48%
heap sort,1,10000000,1,7833.1,697.64%
heap sort,2,100000,1,18.6,290.63%
heap sort,2,1000000,1,262.6,457.49%
heap sort,2,10000000,1,2922.9,510.37%
heap sort,3,100000,1,17.8,323.64%
heap sort,3,1000000,1,257.9,564.33%
heap sort,3,10000000,1,2818.6,602.26%
heap sort,4,100000,1,18.2,236.36%
heap sort,4,1000000,1,299.2,466.77%
heap sort,4,10000000,1,3155.8,491.63%
heap sort,5,100000,1,19.7,153.91%
heap sort,5,1000000,1,388,354.34%
tim sort,0,100000,1,0.4,80.00%
tim sort,0,1000000,1,2.7,100.00%
tim sort,0,10000000,1,25.6,99.22%
tim sort,1,100000,1,28.7,233.33%
tim sort,1,1000000,1,331.5,288.26%
tim sort,1,10000000,1,3342.8,297.72%
tim sort,2,100000,1,21.3,332.81%
tim sort,2,1000000,1,240.4,418.82%
tim sort,2,10000000,1,2405.5,420.03%
tim sort,3,100000,1,4.8,87.27%
tim sort,3,1000000,1,47.5,103.94%
tim sort,3,10000000,1,510.5,109.08%
tim sort,4,100000,1,22.3,289.61%
tim sort,4,1000000,1,243.3,379.56%
tim sort,4,10000000,1,2510.5,391.10%
tim sort,5,100000,1,26.3,205.47%
tim sort,5,1000000,1,261.9,239.18%
dual pivot quick sort,0,100000,1,6.2,1240.00%
dual pivot quick sort,0,1000000,1,56.4,2088.89%
dual pivot quick sort,0,10000000,1,559.8,2169.77%
dual pivot quick sort,1,100000,1,19.9,161.79%
dual pivot quick sort,1,1000000,1,201.8,175.48%
dual pivot quick sort,1,10000000,1,1918.6,170.88%
dual pivot quick sort,2,100000,1,11.7,182.81%
dual pivot quick sort,2,1000000,1,106.2,185.02%
dual pivot quick sort,2,10000000,1,1065.5,186.05%
dual pivot quick sort,3,100000,1,15.2,276.36%
dual pivot quick sort,3,1000000,1,103.3,226.04%
dual pivot quick sort,3,10000000,1,1046.7,223.65%
dual pivot quick sort,4,100000,1,14.7,190.91%
dual pivot quick sort,4,1000000,1,134.5,209.83%
dual pivot quick sort,4,10000000,1,1360.1,211.89%
dual pivot quick sort,5,100000,1,22.8,178.13%
dual pivot quick sort,5,1000000,1,175.9,160.64%
pg intro sort,0,100000,1,0.3,60.00%
pg intro sort,0,1000000,1,2.7,100.00%
pg intro sort,0,10000000,1,24.7,95.74%
pg intro sort,1,100000,1,11.5,93.50%
pg intro sort,1,1000000,1,110,95.65%
pg intro sort,1,10000000,1,1072.6,95.53%
pg intro sort,2,100000,1,6.1,95.31%
pg intro sort,2,1000000,1,53.9,93.90%
pg intro sort,2,10000000,1,528.3,92.25%
pg intro sort,3,100000,1,5.1,92.73%
pg intro sort,3,1000000,1,42.6,93.22%
pg intro sort,3,10000000,1,416.9,89.08%
pg intro sort,4,100000,1,6.9,89.61%
pg intro sort,4,1000000,1,60.6,94.54%
pg intro sort,4,10000000,1,591.8,92.20%
pg intro sort,5,100000,1,11.7,91.41%
pg intro sort,5,1000000,1,102.9,93.97%
pg intro sort - 1 preordered check,0,100000,1,0.5,100.00%
pg intro sort - 1 preordered check,0,1000000,1,2.4,88.89%
pg intro sort - 1 preordered check,0,10000000,1,22.4,86.82%
pg intro sort - 1 preordered check,1,100000,1,11.5,93.50%
pg intro sort - 1 preordered check,1,1000000,1,110.4,96.00%
pg intro sort - 1 preordered check,1,10000000,1,1083.6,96.51%
pg intro sort - 1 preordered check,2,100000,1,6,93.75%
pg intro sort - 1 preordered check,2,1000000,1,54.6,95.12%
pg intro sort - 1 preordered check,2,10000000,1,535.5,93.50%
pg intro sort - 1 preordered check,3,100000,1,5.1,92.73%
pg intro sort - 1 preordered check,3,1000000,1,43.1,94.31%
pg intro sort - 1 preordered check,3,10000000,1,419.4,89.62%
pg intro sort - 1 preordered check,4,100000,1,6.7,87.01%
pg intro sort - 1 preordered check,4,1000000,1,60.7,94.70%
pg intro sort - 1 preordered check,4,10000000,1,596.2,92.88%
pg intro sort - 1 preordered check,5,100000,1,11.9,92.97%
pg intro sort - 1 preordered check,5,1000000,1,104.1,95.07%
rand pg_qsort,0,100000,1,0.5,100.00%
rand pg_qsort,0,1000000,1,2.6,96.30%
rand pg_qsort,0,10000000,1,24.4,94.57%
rand pg_qsort,1,100000,1,11.8,95.93%
rand pg_qsort,1,1000000,1,110.3,95.91%
rand pg_qsort,1,10000000,1,1107.3,98.62%
rand pg_qsort,2,100000,1,7.2,112.50%
rand pg_qsort,2,1000000,1,64.4,112.20%
rand pg_qsort,2,10000000,1,634.4,110.77%
rand pg_qsort,3,100000,1,6,109.09%
rand pg_qsort,3,1000000,1,52,113.79%
rand pg_qsort,3,10000000,1,505.1,107.93%
rand pg_qsort,4,100000,1,7.7,100.00%
rand pg_qsort,4,1000000,1,69.5,108.42%
rand pg_qsort,4,10000000,1,710.7,110.72%
rand pg_qsort,5,100000,1,11.4,89.06%
rand pg_qsort,5,1000000,1,105.7,96.53%
pg_qsort,0,100000,1,0.5,100.00%
pg_qsort,0,1000000,1,2.7,100.00%
pg_qsort,0,10000000,1,25.8,100.00%
pg_qsort,1,100000,1,12.3,100.00%
pg_qsort,1,1000000,1,115,100.00%
pg_qsort,1,10000000,1,1122.8,100.00%
pg_qsort,2,100000,1,6.4,100.00%
pg_qsort,2,1000000,1,57.4,100.00%
pg_qsort,2,10000000,1,572.7,100.00%
pg_qsort,3,100000,1,5.5,100.00%
pg_qsort,3,1000000,1,45.7,100.00%
pg_qsort,3,10000000,1,468,100.00%
pg_qsort,4,100000,1,7.7,100.00%
pg_qsort,4,1000000,1,64.1,100.00%
pg_qsort,4,10000000,1,641.9,100.00%
pg_qsort,5,100000,1,12.8,100.00%
pg_qsort,5,1000000,1,109.5,100.00%
