sorting routine,pattern,n,correct,time(CPU clock ticks)
heap sort,0,100000,1,12.800
heap sort,0,1000000,1,133.000
heap sort,0,10000000,1,2736.200
heap sort,1,100000,1,26.600
heap sort,1,1000000,1,447.200
heap sort,1,10000000,1,8030.600
heap sort,2,100000,1,18.000
heap sort,2,1000000,1,316.400
heap sort,2,10000000,1,3223.000
heap sort,3,100000,1,24.600
heap sort,3,1000000,1,310.800
heap sort,3,10000000,1,3764.200
heap sort,4,100000,1,23.200
heap sort,4,1000000,1,296.400
heap sort,4,10000000,1,3770.400
heap sort,5,100000,1,26.600
heap sort,5,1000000,1,441.000
tim sort,0,100000,1,0.400
tim sort,0,1000000,1,5.000
tim sort,0,10000000,1,44.600
tim sort,1,100000,1,65.800
tim sort,1,1000000,1,709.200
tim sort,1,10000000,1,5615.800
tim sort,2,100000,1,52.600
tim sort,2,1000000,1,130.200
tim sort,2,10000000,1,1302.200
tim sort,3,100000,1,6.000
tim sort,3,1000000,1,59.200
tim sort,3,10000000,1,642.600
tim sort,4,100000,1,61.200
tim sort,4,1000000,1,143.600
tim sort,4,10000000,1,1510.400
tim sort,5,100000,1,53.400
tim sort,5,1000000,1,513.200
dual pivot quick sort,0,100000,1,8.400
dual pivot quick sort,0,1000000,1,74.200
dual pivot quick sort,0,10000000,1,774.600
dual pivot quick sort,1,100000,1,34.000
dual pivot quick sort,1,1000000,1,309.600
dual pivot quick sort,1,10000000,1,3004.000
dual pivot quick sort,2,100000,1,10.600
dual pivot quick sort,2,1000000,1,101.600
dual pivot quick sort,2,10000000,1,1026.600
dual pivot quick sort,3,100000,1,22.200
dual pivot quick sort,3,1000000,1,192.400
dual pivot quick sort,3,10000000,1,1855.800
dual pivot quick sort,4,100000,1,21.800
dual pivot quick sort,4,1000000,1,208.400
dual pivot quick sort,4,10000000,1,1940.000
dual pivot quick sort,5,100000,1,31.200
dual pivot quick sort,5,1000000,1,294.000
radix sort,0,100000,1,9.000
radix sort,0,1000000,1,90.800
radix sort,0,10000000,1,946.400
radix sort,1,100000,1,9.000
radix sort,1,1000000,1,90.200
radix sort,1,10000000,1,910.000
radix sort,2,100000,1,9.000
radix sort,2,1000000,1,90.400
radix sort,2,10000000,1,885.400
radix sort,3,100000,1,8.800
radix sort,3,1000000,1,90.600
radix sort,3,10000000,1,909.600
radix sort,4,100000,1,8.800
radix sort,4,1000000,1,87.000
radix sort,4,10000000,1,888.600
radix sort,5,100000,1,8.800
radix sort,5,1000000,1,107.400
pg intro sort,0,100000,1,0.200
pg intro sort,0,1000000,1,3.400
pg intro sort,0,10000000,1,34.400
pg intro sort,1,100000,1,13.800
pg intro sort,1,1000000,1,128.600
pg intro sort,1,10000000,1,1234.600
pg intro sort,2,100000,1,4.600
pg intro sort,2,1000000,1,40.200
pg intro sort,2,10000000,1,411.800
pg intro sort,3,100000,1,5.600
pg intro sort,3,1000000,1,46.200
pg intro sort,3,10000000,1,457.200
pg intro sort,4,100000,1,5.400
pg intro sort,4,1000000,1,48.000
pg intro sort,4,10000000,1,480.000
pg intro sort,5,100000,1,14.200
pg intro sort,5,1000000,1,122.000
pg intro sort - 1 preordered check,0,100000,1,1.400
pg intro sort - 1 preordered check,0,1000000,1,3.200
pg intro sort - 1 preordered check,0,10000000,1,31.400
pg intro sort - 1 preordered check,1,100000,1,13.800
pg intro sort - 1 preordered check,1,1000000,1,124.800
pg intro sort - 1 preordered check,1,10000000,1,1199.800
pg intro sort - 1 preordered check,2,100000,1,4.600
pg intro sort - 1 preordered check,2,1000000,1,39.200
pg intro sort - 1 preordered check,2,10000000,1,430.000
pg intro sort - 1 preordered check,3,100000,1,5.600
pg intro sort - 1 preordered check,3,1000000,1,47.800
pg intro sort - 1 preordered check,3,10000000,1,455.600
pg intro sort - 1 preordered check,4,100000,1,5.800
pg intro sort - 1 preordered check,4,1000000,1,47.000
pg intro sort - 1 preordered check,4,10000000,1,450.400
pg intro sort - 1 preordered check,5,100000,1,14.000
pg intro sort - 1 preordered check,5,1000000,1,123.000
rand pg_qsort,0,100000,1,0.400
rand pg_qsort,0,1000000,1,3.800
rand pg_qsort,0,10000000,1,33.000
rand pg_qsort,1,100000,1,13.400
rand pg_qsort,1,1000000,1,124.200
rand pg_qsort,1,10000000,1,1208.200
rand pg_qsort,2,100000,1,4.800
rand pg_qsort,2,1000000,1,46.200
rand pg_qsort,2,10000000,1,506.200
rand pg_qsort,3,100000,1,6.600
rand pg_qsort,3,1000000,1,58.400
rand pg_qsort,3,10000000,1,558.800
rand pg_qsort,4,100000,1,7.200
rand pg_qsort,4,1000000,1,56.000
rand pg_qsort,4,10000000,1,544.200
rand pg_qsort,5,100000,1,12.600
rand pg_qsort,5,1000000,1,116.800
pg_qsort,0,100000,1,0.400
pg_qsort,0,1000000,1,3.200
pg_qsort,0,10000000,1,31.800
pg_qsort,1,100000,1,12.800
pg_qsort,1,1000000,1,120.000
pg_qsort,1,10000000,1,1211.400
pg_qsort,2,100000,1,4.200
pg_qsort,2,1000000,1,35.800
pg_qsort,2,10000000,1,383.600
pg_qsort,3,100000,1,5.600
pg_qsort,3,1000000,1,45.000
pg_qsort,3,10000000,1,438.400
pg_qsort,4,100000,1,5.800
pg_qsort,4,1000000,1,45.200
pg_qsort,4,10000000,1,422.400
pg_qsort,5,100000,1,13.800
pg_qsort,5,1000000,1,113.600
